CNA	Gene	KEGG	Cosmic
chr2_15290637_38407964	RAB10,HS1BP3,CENPA,DPY30,GTF3C2-AS1,OSR1,CEBPZ,LINC01381,DDX1,NBAS,XDH,MIR4430,CGREF1,VIT,RMDN2-AS1,MFSD2B,LINC01376,NRBP1,ASXL2,WDR35,RHOB,CAD,FEZ2,LINC01804,EIF2AK2,NT5C1B,WDR43,OST4,C2orf70,FOSL2,WDCP,C2orf71,EMILIN1,DTNB,LINC00211,OTOF,SLC30A3,ADGRF3,FNDC4,SF3B6,ADCY3,LOC285043,CAPN14,SLC4A1AP,GDF7,FKBP1B,NLRC4,UCN,EHD3,PTRHD1,KCNK3,CIB4,SNORD92,SUPT7L,SNORD53,TRMT61B,CDC42EP3,QPCT,EIF2B4,YPEL5,TRIM54,MAPRE3,SPDYA,MYCNOS,PUM2,SULT6B1,LTBP1,LINC01822,DNAJC27,VSNL1,STRN,LBH,LINC01317,PRKD3,PRR30,APOB,CAPN13,CYP1B1-AS1,PFN4,ZNF512,ATAD2B,TTC27,LAPTM4A,KIF3C,PPP1CB,LOC100271832,MEMO1,LOC100288911,BRE-AS1,DRC1,DNAJC27-AS1,GEN1,IFT172,GTF3C2,ITSN2,MYCN,C2orf16,GCKR,LOC101928222,NCOA1,LINC00954,MIR548AD,CEBPZOS,GPN1,FAM228B,RAD51AP2,SLC5A6,MIR1301,RMDN2,RASGRP3,SLC30A6,AGBL5-AS1,LCLAT1,MSGN1,KRTCAP3,GPATCH11,MIR4765,PPM1G,GAREM2,SLC35F6,DPYSL5,BIRC6,SELENOI,HADHA,MATN3,KCNS3,LDAH,FLJ31356,GALNT14,TDRD15,BIRC6-AS2,DNAJC5G,YIPF4,GACAT3,LINC01460,FAM49A,ZNF513,CCDC121,LINC01320,PLB1,ATRAID,CENPO,HS1BP3-IT1,CYP1B1,HADHB,SRD5A2,MPV17,PREB,KHK,TMEM214,UBXN2A,FAM98A,MIR4757,MYADML,LINC00486,TTC32,SPAST,FAM179A,HEATR5B,DNMT3A,FTH1P3,TP53I3,SMC6,SNX17,EFR3B,NDUFAF7,LINC01318,TCF23,NT5C1B-RDH14,CRIM1,MIR558,BRE,LOC100505716,LINC01884,ALK,ABHD1,LOC100505736,KLHL29,RDH14,MYCNUT,CLIP4,MRPL33,POMC,AGBL5,MIR4263,RBKS,FAM228A,LOC105374389,SDC1	NA	MYCN_oncogene,DNMT3A_TSG,ALK_oncogene/fusion
chr2_43699169_43869231	THADA,PLEKHH2	NA	NA
chr2_46144410_49389051	PRKCE,LOC100506142,EPAS1,LOC101927043,LINC01119,TMEM247,TTC7A,LHCGR,KCNK12,C2orf61,CRIPT,LINC01118,STON1-GTF2A1L,MIR548BA,CALM2,MIR559,MCFD2,SOCS5,RHOQ,MSH2,EPCAM,STON1,PIGF,PPP1R21,LOC101805491,GTF2A1L,FSHR,FOXN2,ATP6V1E2,MSH6,HCG2040054,FBXO11	Mismatch repair_MSH2/MSH6	EPAS1_oncogene/TSG,MSH2_TSG,MSH6_TSG,FBXO11_TSG
chr2_51065351_65380629	MIR4433B,SLC1A4,LGALSL,MTIF2,GPR75-ASB3,LINC01867,MIR4433A,CCT4,RTN4,XPO1,EML6,LINC01793,VPS54,ERLEC1,AHSA2,REL,MIR216B,LOC100132215,VRK2,C2orf73,FANCL,SNORA70B,LOC100507006,LOC339807,LINC00309,LINC01122,CHAC2,LINC01800,PNPT1,CLHC1,CEP68,CFAP36,SPTBN1,PRORSD1P,RPS27A,LOC730100,NRXN1,PELI1,KIAA1841,USP34,FAM161A,MIR4432,WDPCP,COMMD1,PEX13,ACYP2,MIR4431,UGP2,RPL23AP32,MIR4432HG,TSPYL6,EHBP1,PUS10,MIR4426,LOC100129434,CCDC85A,GPR75,C2orf74,ASB3,LOC400958,RAB1A,MIR3682,PSME4,LOC101927402,OTX1,MIR217HG,MDH1,LINC01813,DBIL5P2,MIR216A,B3GNT2,MIR4434,PAPOLG,EFEMP1,PPP4R3B,CCDC88A,SERTAD2,MIR217,MIR5192,AFTPH,TMEM17,LOC339803,LINC01185,BCL11A	NA	XPO1_oncogene,REL_oncogene,BCL11A_oncogene
chr2_70980191_82043794	CYP26B1,DUSP11,C2orf78,LOC101927967,M1AP,MOGS,ALMS1,OR7E91P,EGR4,PRADC1,VAX2,MTHFD2,CTNNA2,TLX2,BOLA3-AS1,ACTG2,ALMS1P1,CLEC4F,SLC4A5,DCTN1,DQX1,HK2,INO80B,LOC105374820,LRRTM1,NAT8,DCTN1-AS1,MIR4264,TET3,RAB11FIP5,TEX261,HTRA2,NAGK,TACR1,LINC01143,REG3A,WBP1,TTC31,ANKRD53,REG3G,LOC101927884,REG1B,NAT8B,LRRTM4,FBXO41,EVA1A,GCFC2,LOC101927948,SFXN5,SPR,AUP1,SEMA4F,MCEE,CD207,ATP6V1B1,MOB1A,PCGF1,RTKN,STAMBP,MPHOSPH10,INO80B-WBP1,DGUOK,REG1CP,ATP6V1B1-AS1,ADD2,SMYD5,FIGLA,MRPL53,C2orf81,POLE4,WDR54,ALMS1-IT1,LINC01815,LOXL3,MIR8080,DYSF,DGUOK-AS1,MRPL19,BOLA3,REG1A,LOC101927907,LINC01291,LINC01851,EMX1,DOK1,CCDC142,TPRKB,LBX2-AS1,LOC101927987,LBX2,EXOC6B,MIR5000,SNAR-H,PAIP2B,CCT7,NOTO,ZNF638	NA	NA
chr2_88730232_89265309	ANKRD36BP2,MIR4436A,RPIA,LOC101928371,FOXI3,TEX37,EIF2AK3,LOC101928403	NA	NA
chr2_91470717_93261091	LOC101927050,ACTR3BP2,LOC654342,GGT8P	NA	NA
chr2_97629286_97784668	ANKRD36,FAHD2B,FAM178B	NA	NA
chr2_98460559_98985889	TMEM131,VWA3B,CNGA3	NA	NA
chr2_102306896_102706893	MAP4K4,IL1R1,LINC01127,IL1R2	Amoebiasis_IL1R1/IL1R2,Hematopoietic cell lineage_IL1R1/IL1R2,Fluid shear stress and atherosclerosis_IL1R1/IL1R2,HTLV-I infection_IL1R1/IL1R2,Cytokine-cytokine receptor interaction_IL1R1/IL1R2,MAPK signaling pathway_MAP4K4/IL1R1	NA
chr2_102738051_103113985	IL1RL2,IL18R1,IL1R1,IL1RL1,IL18RAP,SLC9A4,MIR4772	Cytokine-cytokine receptor interaction_IL18R1/IL1R1/IL18RAP,Inflammatory bowel disease (IBD)_IL18R1/IL18RAP	NA
chr2_103436097_103543147	LINC01796	NA	NA
chr2_103588575_103649247	LINC01935	NA	NA
chr2_104139040_104436698	NA	NA	NA
chr2_105194004_105642599	LINC01114,POU3F3,LINC01158,LOC102724691,LINC01159	NA	NA
chr2_112636427_114193039	CHCHD5,LOC105373562,ZC3H6,PAX8-AS1,ANAPC1,IL36RN,CKAP2L,FBLN7,IL1F10,FLJ42351,PSD4,TTL,IL36A,IL36G,SLC20A1,IL1A,TMEM87B,RGPD5,MERTK,PAX8,POLR1B,IL37,IL36B,ZC3H8,IL1B,RGPD8,IL1RN	Prion diseases_IL1A/IL1B,Graft-versus-host disease_IL1A/IL1B,Type I diabetes mellitus_IL1A/IL1B,Inflammatory bowel disease (IBD)_IL1A/IL1B,Leishmaniasis_IL1A/IL1B,Pertussis_IL1A/IL1B,Salmonella infection_IL1A/IL1B,Rheumatoid arthritis_IL1A/IL1B,Hematopoietic cell lineage_IL1A/IL1B,AGE-RAGE signaling pathway in diabetic complications_IL1A/IL1B,Osteoclast differentiation_IL1A/IL1B,Measles_IL1A/IL1B,Fluid shear stress and atherosclerosis_IL1A/IL1B,Non-alcoholic fatty liver disease (NAFLD)_IL1A/IL1B,Necroptosis_IL1A/IL1B,RNA transport_RGPD5/RGPD8,Influenza A_IL1A/IL1B,Tuberculosis_IL1A/IL1B	NA
chr2_114497066_114889746	LOC101060091,ACTR3,LINC01191,SLC35F5,LOC100499194	Tight junction_ACTR3	NA
chr3_123241629_123596332	MYLK-AS1,HACD2,MYLK,MYLK-AS2	Biosynthesis of unsaturated fatty acids_HACD2,Fatty acid elongation_HACD2	NA
chr3_131757197_131934776	CPNE4	NA	NA
chr3_131958009_135440246	TMEM108,SLCO2A1,NPHP3-ACAD11,RYK,UBA5,ANAPC13,KY,ACPP,TF,ACKR4,BFSP2,TOPBP1,C3orf36,TMEM108-AS1,MIR6827,CDV3,SRPRB,MIR4788,LINC02000,RAB6B,AMOTL2,CEP63,NPHP3,BFSP2-AS1,EPHB1,DNAJC13,NPHP3-AS1,ACAD11	NA	NA
chr3_193099_2950594	CHL1,LINC01266,CHL1-AS2,CNTN4-AS2,CNTN6,CNTN4,CHL1-AS1	NA	NA
chr3_3063394_3250029	CNTN4-AS1,TRNT1,CRBN,IL5RA,CNTN4	NA	NA
chr3_4105902_5012726	SETMAR,ITPR1-AS1,ITPR1,SUMF1,BHLHE40-AS1,EGOT	NA	NA
chr3_5757746_6191556	NA	NA	NA
chr3_7723703_7982869	GRM7	Glutamatergic synapse_GRM7,Phospholipase D signaling pathway_GRM7,Neuroactive ligand-receptor interaction_GRM7	NA
chr3_8190412_8414257	LMCD1-AS1	NA	NA
chr3_10315561_10525809	LINC00852,SEC13,ATP2B2,MIR378B,GHRL,MIR885,TATDN2,GHRLOS	cAMP signaling pathway_ATP2B2/GHRL	NA
chr3_12495291_14907463	LINC02011,SNORA93,LINC00620,LSM3,CCDC174,WNT7A,HDAC11-AS1,TMEM43,SLC6A6,CAND2,RAF1,FBLN2,TMEM40,MKRN2OS,IQSEC1,C3orf20,RPL32,CHCHD4,TPRXL,XPC,MKRN2,SNORA7A,HDAC11,FGD5,NUP210,LINC01267,TSEN2,GRIP2,FGD5P1,LINC02022	NA	XPC_TSG
chr3_14913525_16769704	RBSN,LINC00690,OXNAD1,FGD5-AS1,ANKRD28,CAPN7,MIR4270,HACL1,MRPS25,SH3BP5-AS1,COL6A4P1,MIR563,NR2C2,MIR3134,RFTN1,DPH3,COLQ,FGD5,METTL6,EAF1,SH3BP5,BTD,GALNT15,DAZL	Vitamin digestion and absorption_BTD,Mucin type O-glycan biosynthesis_GALNT15	NA
chr3_20044101_31703623	TOP2B,MIR4442,MIR466,OSBPL10,VENTXP7,LOC105376997,RBMS3-AS1,LINC01981,RBMS3,NR1D2,LINC00692,ZNF385D,TGFBR2,SLC4A7,THRB,SGO1-AS1,NGLY1,UBE2E1,UBE2E2,EOMES,SGO1,LINC00693,RBMS3-AS3,THRB-AS1,LOC101927829,LINC00691,LOC101927854,GADL1,ZNF385D-AS1,CMC1,NKIRAS1,UBE2E2-AS1,MIR548AC,ZCWPW2,RARB,NEK10,LRRC3B,AZI2,OXSM,KAT2B,PP2D1,MIR3135A,MIR4792,STT3B,ZNF385D-AS2,UBE2E1-AS1,RPL15	NA	TGFBR2_TSG
chr3_31824251_36680736	MIR128-2,LOC101928135,MIR548AY,OSBPL10,CMTM8,ZNF860,SUSD5,GLB1,CMTM6,CNOT10,GPD1L,ARPP21,STAC,TRIM71,CLASP2,FBXL2,CRTAP,DYNC1LI1,CMTM7,TMPPE,UBP1,PDCD6IP,CCR4	NA	NA
chr3_44069586_46751111	LIMD1-AS1,LINC00694,LARS2-AS1,ZNF502,LOC102724297,KIAA1143,ZNF501,LARS2,ZNF35,LIMD1,SLC6A20,RTP3,SACM1L,TMEM158,MIR138-1,TMEM42,LRRC2,ALS2CL,CCR2,ZNF852,ZKSCAN7,TGM4,CCR1,ZNF660,LTF,LINC01988,MIR564,LRRC2-AS1,TCAIM,LOC100132146,CLEC3B,CCR5,CCR9,ZNF197,TMIE,LZTFL1,CDCP1,CCR3,KIF15,ZDHHC3,ZNF197-AS1,ZNF445,TOPAZ1,FYCO1,CXCR6,EXOSC7,XCR1,TDGF1,CCRL2	Chemokine signaling pathway_CCR2/CCR1/CCR5/CCR9/CCR3/CXCR6/XCR1,Cytokine-cytokine receptor interaction_CCR2/CCR1/CCR5/CCR9/CCR3/CXCR6/XCR1,Kaposi's sarcoma-associated herpesvirus infection_CCR1/CCR5/CCR3	NA
chr3_46842725_47179473	SETD2,NBEAL2,CCDC12,PTH1R,MYL3,NRADDP,PRSS42	NA	SETD2_TSG
chr3_47861929_48131628	MAP4,DHX30,MIR1226	NA	NA
chr3_48327774_82960013	C3orf14,HYAL3,DALRD3,TEX264,SLMAP,SYNPR,SNORD69,PSMD6-AS2,SEMA3F-AS1,GNL3,USP4,ITIH1,LRTM1,PPM1M,ASB14,TKT,MST1R,CNTN3,C3orf18,PRICKLE2-AS1,QARS,CACNA1D,MANF,SELENOK,SMIM4,SNORD136,MIRLET7G,FBXW12,NME6,BSN-AS2,ROBO2,SNORD19B,NPRL2,CELSR3,MITF,THOC7-AS1,TMEM115,POC1A,CCDC36,FCF1P2,TLR9,KBTBD8,ADAMTS9-AS1,IP6K2,MIR6872,KLHDC8B,SEMA3G,PPP4R2,LAMB2,NDUFAF3,LINC00960,ERC2-IT1,NAT6,LOC105377143,C3orf49,TMEM110-MUSTN1,GRM2,IQCF4,MIR566,MIR135A1,IL17RD,ARHGEF3-AS1,DUSP7,UCN2,MIR6890,CADPS,MIR4273,P4HTM,SPATA12,LINC00698,CAMKV,PARP3,GNAI2,ARHGEF3,ACTR8,TWF2,ACY1,SNORA94,SLC25A26,PTPRG-AS1,ZNF717,GMPPB,FHIT,BSN,C3orf84,RPL29,MIR6824,DCAF1,FOXP1,IQCF2,CCDC66,RBM5-AS1,MIR4793,IMPDH2,ROBO1,MIR4444-1,LOC105377146,FAM19A1,PROK2,FAM107A,SHQ1,GPR62,HEMK1,MIR4272,ARF4-AS1,WNT5A,UBA3,RFT1,GPR27,DCP1A,THOC7,SNORD19,TCTA,NICN1,MIR425,MUSTN1,LINC02027,LOC105377102,CYB561D2,MIR1324,ADAMTS9-AS2,IQCF5,ATXN7,NEK4,PRKAR2A,ABHD14A-ACY1,SEMA3F,IQCF1,CDHR4,GBE1,APEH,MAPKAPK3,CELSR3-AS1,MIR548BB,PRICKLE2-AS2,FLNB,RBM15B,MIR4444-2,AMT,LMOD3,CHDH,IP6K1,MIR2115,TRAIP,SEMA3B-AS1,CACNA2D3-AS1,STAB1,FAM19A4,UBA7,IL17RB,GLT8D1,SFMBT1,RAD54L2,MIR3938,ITIH3,SAMMSON,PFKFB4,DNASE1L3,SLC38A3,MIR4787,SUCLG2,DOCK3,FAM208A,PCBP4,NISCH,HESX1,ABHD14A,MIR5787,LRIG1,GNAT1,ERC2,ESRG,MIR3136,ARF4,C3orf67-AS1,PSMD6,SNTN,MON1A,ARL6IP5,LOC101927374,GXYLT2,PDZRN3,KCTD6,LINC00877,AMIGO3,IFRD2,SEMA3B,GPX1,EBLN2,MIR711,DNAH12,DENND6A,ADAMTS9,MIR4271,UQCRC1,PLXNB1,SPINK8,ACOX2,GLYCTK-AS1,MIR191,IQCF6,PRICKLE2-AS3,LINC00696,PDHB,EOGT,PHF7,ATRIP,LAMB2P1,LINC00994,FOXP1-AS1,MIR5193,PTPRG,MST1,SYNPR-AS1,TREX1,DAG1,USP19,GLYCTK,SPCS1,RNF123,NT5DC2,FAM3D,CISH,MAGI1,SLC25A20,CCDC71,PXK,FAM3D-AS1,RBM5,ABHD6,LSMEM2,APPL1,LOC101929159,MIR3923,WDR6,COL7A1,ABHD14B,TMF1,ALAS1,RHOA,ITIH4-AS1,RRP9,WDR82,ITIH4,PRKCD,QRICH1,FEZF2,LOC101929054,TNNC1,RASSF1,HYAL2,TMEM110,TUSC2,LOC101927296,MIR6823,ZMYND10,MIR1284,PRICKLE2,RASSF1-AS1,FAM86DP,FLNB-AS1,TMA7,BAP1,LINC00870,MAGI1-AS1,ARIH2OS,RPP14,NCKIPSD,SUCLG2-AS1,LOC105377162,DNAH1,RYBP,PRKAR2A-AS1,HYAL1,EIF4E3,PBRM1,FRMD4B,SLC26A6,FAM212A,TMEM89,FRG2EP,C3orf67,FRG2C,RBM6,PDE12,PDZRN3-AS1,CACNA2D3,ARIH2,CACNA2D2,IQCF3,IQCF5-AS1,MIR8064,CCDC51,C3orf62,SHISA5	Axon guidance_ROBO2/SEMA3G/GNAI2/ROBO1/WNT5A/SEMA3F/SEMA3B/PLXNB1/RHOA	CACNA1D_oncogene,MITF_oncogene,FHIT_TSG,FOXP1_oncogene,BAP1_TSG,PBRM1_TSG
chr3_83170860_85956385	MIR5688,LINC00971,CADM2-AS2,SNORA95,CADM2	NA	NA
chr3_86947679_94038940	EPHA3,CGGBP1,HTR1F,VGLL3,POU1F1,ZNF654,MIR4795,ARL13B,PROS1,DHFR2,NSUN3,LINC00506,C3orf38,STX19,CHMP2B	NA	NA
chr3_94563215_95621425	MTHFD2P1,LINC00879	NA	NA
chr3_96086809_107496258	OR5K1,MIR548AB,ZPLD1,TMEM30CP,CBLB,ST3GAL6-AS1,LOC101929411,LINC02085,IMPG2,MIR548A3,NIT2,CCDC54,CMSS1,CPOX,LNP1,CLDND1,MIR3921,NFKBIZ,OR5K4,ST3GAL6,FAM172BP,OR5H2,TMEM45A,DCBLD2,LOC101929579,OR5H1,ABI3BP,CEP97,LINC01990,PCNP,TRMT10C,MIR548G,CRYBG3,OR5H15,LINC00882,ZBTB11-AS1,ALCAM,EPHA6,OR5K3,OR5H6,OR5AC2,NXPE3,ZBTB11,GABRR3,ADGRG7,SENP7,PDCL3P4,TBC1D23,RPL24,OR5H14,TOMM70,COL8A1,TFG,MINA,HP09053,BBX,OR5K2,GPR15,ARL6,DUBR,FILIP1L	Olfactory transduction_OR5K1/OR5K4/OR5H2/OR5H1/OR5H15/OR5K3/OR5H6/OR5AC2/OR5H14/OR5K2	CBLB_TSG
chr3_107673726_107799521	CD47	ECM-receptor interaction_CD47	NA
chr3_108559662_110301029	GUCA1C,FLJ22763,MIR4445,DPPA4,MORC1,LINC00488,LINC01205,MORC1-AS1,DPPA2,TRAT1	Phototransduction_GUCA1C	NA
chr3_110561694_111249902	NECTIN3,PVRL3-AS1	Adherens junction_NECTIN3,Cell adhesion molecules (CAMs)_NECTIN3	NA
chr3_114311377_114577652	MIR4796,ZBTB20	NA	NA
chr3_118065039_118183581	NA	NA	NA
chr3_118219741_118399506	LOC101926968,LOC105374060	NA	NA
chr3_118625420_118758134	IGSF11-AS1,IGSF11	NA	NA
chr3_118828307_122644971	FSTL1,CSTA,ARHGAP31,ARGFX,PLA1A,PARP15,MAATS1,RABL3,FAM162A,SEMA5B,SLC15A2,TMEM39A,STXBP5L,GTF2E1,DIRC2,UPK1B,HGD,GOLGB1,CD80,C3orf30,ADPRH,LINC02049,GPR156,MIR5682,HSPBAP1,DTX3L,LRRC58,NR1I2,LOC102723582,LINC02035,PARP9,IGSF11,COX17,TIMMDC1,POLQ,CD86,IQCB1,B4GALT4-AS1,WDR5B,MIR198,GSK3B,CCDC58,ARHGAP31-AS1,B4GALT4,KPNA1,NDUFB4,POPDC2,ILDR1,POGLUT1,PARP14,CASR,EAF2,HCLS1,FBXO40	NA	NA
chr3_123753844_124440945	MIR6083,MIR5002,KALRN	NA	NA
chr3_126870350_128712429	LOC653712,DNAJB8,MGLL,RPN1,GATA2,ACAD9,RUVBL1,MIR7976,LINC02016,LOC90246,RUVBL1-AS1,C3orf56,KIAA1257,LINC01471,GATA2-AS1,KBTBD12,DNAJB8-AS1,PODXL2,MIR6825,EEFSEC,ABTB1,MCM2,SEC61A1,RAB7A,TPRA1,LINC01565	NA	GATA2_oncogene
chr3_128842347_129724711	HMCES,CNBP,IFT122,H1FOO,MBD4,ISY1-RAB43,H1FX-AS1,SNORA7B,RPL32P3,COPG1,EFCAB12,TMCC1,MIR6826,TRH,H1FX,RHO,TMCC1-AS1,PLXND1,ISY1	Spliceosome_ISY1-RAB43/ISY1,Phototransduction_RHO,Base excision repair_MBD4	CNBP_TSG
chr3_130583088_133712457	TMEM108,NPHP3-ACAD11,NEK11,UBA5,ACKR4,BFSP2,TOPBP1,CDV3,MRPL3,RAB6B,CPNE4,MIR5704,SLCO2A1,SNORA58,ACPP,TF,C3orf36,TMEM108-AS1,LOC339874,SRPRB,NUDT16P1,NUDT16,NPHP3,BFSP2-AS1,ATP2C1,DNAJC13,NPHP3-AS1,ACAD11,ASTE1	NA	NA
chr4_176048_48529166	USP17L28,TBC1D19,SLC30A9,MIR4801,SLBP,PGM2,CLNK,SCARNA22,CCDC149,APBB2,USP17L20,LOC100133461,STK32B,PPARGC1A,ADRA2C,LINC00682,PTTG2,LINC00955,ZAR1,USP17L12,LOC100505912,C4orf19,LCORL,UGDH-AS1,TMEM128,MAN2B2,RGS12,TBC1D14,SMIM20,KCNIP4-IT1,GABRB1,S100P,FGFBP2,USP17L24,SLC26A1,DTHD1,ANAPC4,LOC93622,HTT-AS,RNF212,JAKMIP1,TMED11P,LOC101928622,MFSD7,CC2D2A,LOC101927157,STX18-AS1,LYAR,RELL1,KCTD8,LOC101929123,LOC285484,NKX1-1,AFAP1-AS1,LOC105374428,LOC105377651,LINC01587,PDS5A,EVC,USP17L15,LOC102723828,ZNF718,MIR571,FLJ36777,MRFAP1L1,HMX1,FAM184B,FAM193A,LINC01182,NSD2,LOC650293,ZNF518B,IDUA,ZNF732,LOC105374546,ATP10D,PCGF3,PIGG,UGDH,GBA3,SH3BP2,SLC34A2,MIR218-1,LOC100129917,LIAS,GRPEL1,NOP14-AS1,LVCAT1,LOC101929199,CPEB2,TLR1,LOC101927179,TLR10,TXK,KLHL5,MIR378D1,LAP3,USP17L18,CTBP1,LINC01097,FAM114A1,USP17L10,SEL1L3,MIR8053,TACC3,USP17L29,ZCCHC4,C1QTNF7,NELFA,UCHL1,MIR4800,SHISA3,STIM2,SEPSECS,USP17L13,LOC389199,ATP5I,LOC100508631,LINC01396,NFXL1,CYTL1,LGI2,USP17L6P,DCAF4L1,TAPT1,LOC101928279,USP17L19,MIR3138,CHRNA9,PPP2R2C,CTBP1-AS,CD38,TRMT44,DRD5,NAT8L,ZNF141,NSG1,AFAP1,ZNF876P,HS3ST1,NSUN7,RBPJ,GPR78,USP17L26,MIR548I2,LOC105374366,ADD1,NIPAL1,HTT,MIR572,MFSD10,KLF3-AS1,TMEM175,LOC101929161,EVC2,HTRA3,WDR1,RNF4,RAB28,QDPR,LINC01258,KIAA0232,LOC401127,SOD3,LOC101928306,LOC101927363,TBC1D1,MIR5091,STX18,GAK,DGKQ,GABRA2,LIMCH1,MXD4,CLRN2,FAM53A,PCDH7,USP17L17,MIR95,TMEM156,BOD1L1,CPEB2-AS1,FBXL5,USP17L25,MIR1255B1,SLAIN2,SLIT2-IT1,SLIT2,HAUS3,MIR4802,CPLX1,CCKAR,SEPSECS-AS1,UBE2K,MIR4798,MSX1,MIR943,TMEM129,LINC01096,TLR6,PSAPL1,SLC2A9,UCHL1-AS1,MIR573,PACRGL,ARAP2,MSANTD1,WDR19,LDB2,LOC101929019,NKX3-2,LETM1,CTBP1-AS2,ATP8A1,USP17L22,DOK7,RBM47,RHOH,GNPDA2,KLB,SH3TC1,RFC1,HGFAC,ZFYVE28,DEFB131,CRIPAK,ABLIM2,ABCA11P,N4BP2,ZBTB49,CORIN,MIR4275,COX7B2,MIR5591,DCAF16,FGFR3,TMEM33,ADGRA3,ZNF721,NCAPG,TADA2B,TEC,NOP14,UVSSA,GUF1,CFAP99,TNIP2,USP17L27,LRPAP1,MIR7978,SLC10A4,LOC100130872,USP17L30,PDE6B,PI4K2B,BEND4,POLN,DHX15,MIR4274,LOC101929095,SMIM14,USP17L21,CPZ,RPL9,YIPF7,LOC100129931,PROM1,MYL5,USP17L11,STX18-IT1,MRFAP1,KCNIP4,GABRG1,MED28,FRYL,MIR574,FAM86EP,LOC439933,CNGA1,GRXCR1,LINC01085,LOC102723778,BST1,LOC101060498,ACOX3,SPON2,MAEA,CCDC96,CRMP1,PHOX2B,LOC105374516,NWD2,OTOP1,GRK4,GABRA4,TAPT1-AS1,FGFBP1,FAM200B,WFS1,COMMD8,SORCS2,FGFRL1,USP17L9P,C4orf48,LINC00504,KLF3,USP17L5,BLOC1S4,LOC344967,LOC105374344	NA	FGFR3_oncogene/fusion
chr4_55250553_56480440	CLOCK,KDR,KIT,NMU,PDCL2,SRD5A3,LOC339978,SRD5A3-AS1,TMEM165	Rap1 signaling pathway_KDR/KIT,Ras signaling pathway_KDR/KIT,Cytokine-cytokine receptor interaction_KDR/KIT,MAPK signaling pathway_KDR/KIT	KDR_oncogene,KIT_oncogene
chr4_57144821_57398701	AASDH,KIAA1211,ARL9,PAICS,THEGL,SRP72,PPAT	Purine metabolism_PAICS/PPAT,Protein export_SRP72,Alanine, aspartate and glutamate metabolism_PPAT	NA
chr4_57466570_62795055	SPINK2,LOC101928851,LOC105377671,MIR548AG1,NOA1,LOC105377245,POLR2B,LOC105377247,THEGL,REST,ADGRL3,IGFBP7,IGFBP7-AS1,HOPX	Huntington's disease_POLR2B/REST,RNA polymerase_POLR2B	NA
